<BEGIN>
AVERAGE RESPONSE, PROCESSING TIME PER CONFIGURATION, SCHEDULE STRATEGY, QUEST:
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 1.4900000095367432, 0.45)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.6500000953674316, 0.6)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 266.1199998855591, 0.75)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 265.3599998950958, 1.59)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 265.34999990463257, 263.74)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 266.82999992370605, 1.46)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.5899999141693115, 3.54)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 3.3499999046325684, 2.31)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 265.3599998950958, 2.33)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 265.34999990463257, 2.09)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 265.3699998855591, 1.84)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 1.9399998188018799, 0.89)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 1.5899999141693115, 0.53)
(u'10.2.2.3', u'131', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 3.259999990463257, 1.62)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 3.7899999618530273, 1.97)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 4.569999933242798, 0.73)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 229.42999982833862, 225.6)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 5.950000047683716, 2.12)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.369999885559082, 3.33)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 2.509999990463257, 1.46)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 4.0899999141693115, 2.27)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 3.799999952316284, 1.98)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 4.099999904632568, 1.63)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 2.1399998664855957, 1.07)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 3.809999942779541, 0.99)
(u'10.2.2.3', u'221', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.7799999713897705, 0.71)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 4.289999961853027, 2.67)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 3.490000009536743, 1.84)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 193.99000000953674, 189.02)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 5.5299999713897705, 3.93)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.950000047683716, 3.92)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 3.190000057220459, 2.14)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 4.289999961853027, 2.65)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 4.06000018119812, 2.42)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 5.5299999713897705, 1.7)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 2.2799999713897705, 1.22)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 1.5800001621246338, 0.53)
(u'10.2.2.3', u'311', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 5.539999961853027, 1.67)
